LAMMPS (10 Sep 2025)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (13.349999 13.349999 13.349999)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  108 atoms
  read_data CPU = 0.001 seconds
CUDA found, setting device type to torch::kCUDA.
Loading MACE model from "ar_finetune_epoch1.model-lammps.pt" ... finished.
  - The torch_float_dtype is: Float
  - The r_max is: 6.
  - The model has: 2 layers.
  - The MACE model atomic numbers are: 18.
  - The pair_coeff atomic numbers are: 18.
  - Mapping LAMMPS type 1 (Ar) to MACE type 1.
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 2 2 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mace, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 3.136 | 3.136 | 3.136 Mbytes
   Step          Time           CPU           PotEng         KinEng         TotEng          Temp          Press          Volume        Density    
         0   0              0              188.06347      4.1492507      192.21272      300            148648.4       2379.2701      3.0110926    
        10   0.005          2.5289509      188.14773      4.0650393      192.21277      293.91133      148774.85      2379.2701      3.0110926    
        20   0.01           3.3881949      188.39186      3.821419       192.21328      276.29704      149142.63      2379.2701      3.0110926    
        30   0.015          4.1640124      188.77102      3.4442214      192.21524      249.02482      149710.51      2379.2701      3.0110926    
        40   0.02           4.9433751      189.24653      2.9732062      192.21973      214.96938      150417.02      2379.2701      3.0110926    
        50   0.025          5.7239758      189.76969      2.4577259      192.22742      177.69902      151186.02      2379.2701      3.0110926    
        60   0.03           6.5039056      190.28704      1.9511625      192.2382       141.07336      151936.97      2379.2701      3.0110926    
        70   0.035          7.2752674      190.74672      1.5045627      192.25128      108.78321      152593.53      2379.2701      3.0110926    
        80   0.04           8.0428215      191.10544      1.160191       192.26563      83.884372      153094.64      2379.2701      3.0110926    
        90   0.045          8.8401464      191.3347       0.94601351     192.28072      68.398869      153401.63      2379.2701      3.0110926    
       100   0.05           11.522328      191.42482      0.87216771     192.29699      63.059655      153504.25      2379.2701      3.0110926    
       110   0.055          12.317818      191.38593      0.93010261     192.31603      67.248476      153420.03      2379.2701      3.0110926    
       120   0.06           13.121132      191.24524      1.0944938      192.33974      79.134319      153191.22      2379.2701      3.0110926    
       130   0.065          13.924417      191.04163      1.3276342      192.36926      95.990886      152875.97      2379.2701      3.0110926    
       140   0.07           14.723627      190.81822      1.5858649      192.40408      114.66154      152538.34      2379.2701      3.0110926    
       150   0.075          15.524801      190.61502      1.8272349      192.44225      132.11312      152237.95      2379.2701      3.0110926    
       160   0.08           16.330187      190.4626       2.0187709      192.48137      145.9616       152020.74      2379.2701      3.0110926    
       170   0.085          17.133879      190.37824      2.1414233      192.51966      154.82964      151913.52      2379.2701      3.0110926    
       180   0.09           17.953295      190.36461      2.191663       192.55628      158.46208      151920.87      2379.2701      3.0110926    
       190   0.095          18.749662      190.41112      2.1800407      192.59116      157.62177      152026.73      2379.2701      3.0110926    
       200   0.1            19.55455       190.49704      2.1276836      192.62473      153.83623      152198.63      2379.2701      3.0110926    
       210   0.105          20.360215      190.5959       2.061678       192.65758      149.06388      152393.66      2379.2701      3.0110926    
       220   0.11           21.16377       190.68039      2.0100989      192.69049      145.3346       152567.73      2379.2701      3.0110926    
       230   0.115          21.960505      190.72704      1.9973349      192.72437      144.41173      152682.08      2379.2701      3.0110926    
       240   0.12           22.753129      190.72001      2.0402634      192.76027      147.51556      152710.26      2379.2701      3.0110926    
       250   0.125          23.547938      190.65359      2.1457111      192.7993       155.13966      152642.17      2379.2701      3.0110926    
       260   0.13           24.343982      190.53301      2.3094733      192.84248      166.98003      152485.76      2379.2701      3.0110926    
       270   0.135          25.137398      190.37353      2.5169864      192.89052      181.98369      152264.96      2379.2701      3.0110926    
       280   0.14           25.934402      190.19795      2.7455611      192.94352      198.51014      152016.13      2379.2701      3.0110926    
       290   0.145          26.72976       190.03301      2.9678727      193.00088      214.58376      151782.55      2379.2701      3.0110926    
       300   0.15           27.524408      189.90528      3.1561889      193.06147      228.19944      151606.93      2379.2701      3.0110926    
       310   0.155          28.316205      189.83707      3.2866572      193.12373      237.63259      151525.24      2379.2701      3.0110926    
       320   0.16           29.111057      189.84308      3.3429496      193.18603      241.70265      151560.78      2379.2701      3.0110926    
       330   0.165          29.905216      189.92831      3.3186986      193.24701      239.94925      151721.3       2379.2701      3.0110926    
       340   0.17           30.702655      190.08724      3.2184108      193.30565      232.69822      151996.89      2379.2701      3.0110926    
       350   0.175          31.504767      190.30462      3.0568193      193.36144      221.0148       152362.44      2379.2701      3.0110926    
       360   0.18           32.307861      190.55741      2.8568516      193.41426      206.55669      152780.62      2379.2701      3.0110926    
       370   0.185          33.111406      190.81784      2.6465025      193.46434      191.34798      153207.23      2379.2701      3.0110926    
       380   0.19           33.914606      191.05725      2.4549675      193.51222      177.49958      153597.03      2379.2701      3.0110926    
       390   0.195          34.718034      191.25018      2.3084817      193.55866      166.90834      153910.79      2379.2701      3.0110926    
       400   0.2            35.522398      191.37827      2.2264426      193.60471      160.97672      154121.02      2379.2701      3.0110926    
       410   0.205          36.327322      191.43308      2.2184863      193.65156      160.40147      154215.24      2379.2701      3.0110926    
       420   0.21           37.130926      191.41734      2.2831506      193.70049      165.07684      154197.81      2379.2701      3.0110926    
       430   0.215          37.935087      191.34401      2.4085062      193.75251      174.14033      154088.56      2379.2701      3.0110926    
       440   0.22           38.738579      191.23349      2.5747218      193.80821      186.15808      153918.55      2379.2701      3.0110926    
       450   0.225          39.542824      191.10955      2.75804        193.86759      199.41239      153724.57      2379.2701      3.0110926    
       460   0.23           40.348128      190.99484      2.9352687      193.93011      212.22642      153542.42      2379.2701      3.0110926    
       470   0.235          41.152533      190.90701      3.087774       193.99479      223.25289      153402.4       2379.2701      3.0110926    
       480   0.24           41.955684      190.85643      3.2041403      194.06057      231.66643      153323.62      2379.2701      3.0110926    
       490   0.245          42.760095      190.84538      3.2810595      194.12644      237.22786      153313.53      2379.2701      3.0110926    
       500   0.25           43.562337      190.86916      3.3224888      194.19165      240.22329      153367.4       2379.2701      3.0110926    
       510   0.255          44.365394      190.9183       3.3375217      194.25582      241.3102       153471.91      2379.2701      3.0110926    
       520   0.26           45.168754      190.98116      3.3376748      194.31884      241.32127      153607.96      2379.2701      3.0110926    
       530   0.265          45.970283      191.0465       3.3343363      194.38084      241.07989      153755.27      2379.2701      3.0110926    
       540   0.27           46.771929      191.1052       3.3369292      194.44213      241.26736      153895.02      2379.2701      3.0110926    
       550   0.275          47.566453      191.15114      3.3519389      194.50308      242.35259      154013.03      2379.2701      3.0110926    
       560   0.28           48.363678      191.18146      3.3825802      194.56404      244.56803      154100.93      2379.2701      3.0110926    
       570   0.285          49.165739      191.19653      3.4287506      194.62528      247.90625      154157.63      2379.2701      3.0110926    
       580   0.29           49.967385      191.1999       3.4870883      194.68699      252.1242       154189.07      2379.2701      3.0110926    
       590   0.295          50.76993       191.19797      3.5512068      194.74918      256.7601       154206.88      2379.2701      3.0110926    
       600   0.3            51.574775      191.19939      3.6123034      194.81169      261.17753      154226.38      2379.2701      3.0110926    
       610   0.305          52.381145      191.214        3.6602418      194.87424      264.64358      154264.49      2379.2701      3.0110926    
       620   0.31           53.185452      191.25138      3.6850369      194.93642      266.43632      154336.6       2379.2701      3.0110926    
       630   0.315          53.989267      191.31922      3.6785798      194.9978       265.96946      154454.04      2379.2701      3.0110926    
       640   0.32           54.79328       191.42156      3.636392       195.05796      262.91918      154622         2379.2701      3.0110926    
       650   0.325          55.595599      191.55757      3.5591003      195.11667      257.33082      154837.68      2379.2701      3.0110926    
       660   0.33           56.397144      191.7206       3.4531916      195.1738       249.67339      155090.33      2379.2701      3.0110926    
       670   0.335          57.2025        191.89881      3.3306262      195.22944      240.81164      155362.22      2379.2701      3.0110926    
       680   0.34           58.004478      192.07672      3.2071849      195.2839       231.88656      155631.52      2379.2701      3.0110926    
       690   0.345          58.806237      192.23773      3.099887       195.33761      224.12869      155875.3       2379.2701      3.0110926    
       700   0.35           59.60814       192.36704      3.0241625      195.3912       218.65364      156074.04      2379.2701      3.0110926    
       710   0.355          60.411494      192.45386      2.9914847      195.44535      216.29096      156213.59      2379.2701      3.0110926    
       720   0.36           61.213687      192.49289      3.0078874      195.50078      217.47691      156288.16      2379.2701      3.0110926    
       730   0.365          62.017826      192.4847       3.0734451      195.55815      222.21688      156300.04      2379.2701      3.0110926    
       740   0.37           62.819689      192.43535      3.1825861      195.61794      230.10802      156260.19      2379.2701      3.0110926    
       750   0.375          63.622508      192.35529      3.325078       195.68037      240.41049      156185.15      2379.2701      3.0110926    
       760   0.38           64.425811      192.25768      3.4875918      195.74527      252.1606       156095.73      2379.2701      3.0110926    
       770   0.385          65.228648      192.15641      3.6557638      195.81218      264.31981      156012.29      2379.2701      3.0110926    
       780   0.39           66.030388      192.06378      3.8165447      195.88032      275.94462      155951.14      2379.2701      3.0110926    
       790   0.395          66.834535      191.98837      3.9604581      195.94883      286.34988      155921.22      2379.2701      3.0110926    
       800   0.4            67.641366      191.93351      4.0832886      196.0168       295.2308       155922.46      2379.2701      3.0110926    
       810   0.405          68.444073      191.89674      4.1867488      196.08349      302.7112       155945.36      2379.2701      3.0110926    
       820   0.41           69.2465        191.87053      4.2778046      196.14834      309.29474      155973.7       2379.2701      3.0110926    
       830   0.415          70.048765      191.84447      4.3665811      196.21105      315.71347      155989.03      2379.2701      3.0110926    
       840   0.42           70.852222      191.80832      4.4631214      196.27145      322.69355      155974.83      2379.2701      3.0110926    
       850   0.425          71.65623       191.75569      4.5737121      196.3294       330.6895       155921.66      2379.2701      3.0110926    
       860   0.43           72.457794      191.68681      4.6978395      196.38465      339.66419      155830.15      2379.2701      3.0110926    
       870   0.435          73.260106      191.60997      4.8268046      196.43678      348.98865      155713.69      2379.2701      3.0110926    
